Final Check,Prefab Variant Check,Prefab Variant Name,User Name,Email,Name Check,Class Check,Classification,Referenced Check,Referenced Model Count,Referenced Model Count Check,Hierarchy Check,Hierarchy Transform Check,Render Components Check,Empty Mesh Filter Check,Empty Mesh Render Check,Material Count,Shader Name,Referenced Model Path,Abs Path
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Item_Build_Yiji_Ceilingcorner_4m_B,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,2,[EV_DefaultLit],Assets/Res/Environment/Item/Build/Model/SM_Item_Build_Yiji_Ceilingcorner_4m_B.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/Build/Prefab/Prefab_Item_Build_Yiji_Ceilingcorner_4m_B.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Build_PhotoStudio_01_G,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,3,[Decal][EV_DefaultLit][EV_Tiling],Assets/Res/Environment/Level_BW_Ark/Build/Model/SM_Build_PhotoStudio_01_G.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_BW_Ark/Build/Prefab/Prefab_Build_PhotoStudio_01_G.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Item_Flower_SensorPlant_005_A,User Name Waits Unity,Email Waits Unity,Passed,Passed,Flower,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[Fern],Assets/Res/Environment/Item/Vegetation/Flower/Model/SM_Item_Flower_SensorPlant_005.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/Vegetation/Flower/Prefab/Prefab_Item_Flower_SensorPlant_005_A.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Tree_Novice_Leaf_001B,User Name Waits Unity,Email Waits Unity,Passed,Passed,Tree,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,2,[Foliage][Trunk],Assets/Res/Environment/Common/Vegetation/Tree/Model/SM_Tree_Novice_Leaf_001B.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Common/Vegetation/Tree/Prefab/Prefab_Tree_Novice_Leaf_001B.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_LVIOT_Build_POI_009_A,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[ParallaxCrystal],Assets/Res/Environment/Level_IOT/Build/Model/SM_LVIOT_Build_POI_009_A.FBX,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_IOT/Build/Prefab/Prefab_LVIOT_Build_POI_009_A.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,P_Item_Yiji_Floor_4m4m_B_Text,User Name Waits Unity,Email Waits Unity,Failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/Build/Prefab/P_Item_Yiji_Floor_4m4m_B_Text.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Vine_NoviceVine_001_E,User Name Waits Unity,Email Waits Unity,Passed,Passed,Vine,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[Trunk],Assets/Res/Environment/Common/Vegetation/Vine/Model/SM_Vine_NoviceVine_001_E.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Common/Vegetation/Vine/Prefab/Prefab_Vine_NoviceVine_001_E.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Item_Props_Chest_Trigger_002,User Name Waits Unity,Email Waits Unity,Passed,Passed,Props,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[EV_DefaultLit],Assets/Res/Environment/Item/Props/Model/SM_Item_Props_Chest_Trigger_002.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/Props/Prefab/Prefab_Item_Props_Chest_Trigger_002.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Build_ARKBlock_122,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[EV_Tiling],Assets/Res/Environment/Level_BW_Ark/ArtBlock/Model/SM_Build_ARKBlock_122.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_BW_Ark/ArtBlock/Prefab/Prefab_Build_ARKBlock_122.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Tree_Pine_001e,User Name Waits Unity,Email Waits Unity,Passed,Passed,Tree,Passed,1,Passed,Passed,Passed,Failed,Passed,Passed,2,[Foliage][EV_DefaultLit],Assets/Res/Environment/Common/Vegetation/Tree/Model/SM_Tree_Pine_001e.FBX,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Common/Vegetation/Tree/Prefab/Prefab_Tree_Pine_001e.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_LVIOT_Build_UndergroundTreeRoot_003,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,2,[Crystal][EV_LayeredRock_New],Assets/Res/Environment/Level_IOT/Build/Model/SM_LVIOT_Build_UndergroundTreeRoot_003.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_IOT/Build/Prefab/Prefab_LVIOT_Build_UndergroundTreeRoot_003.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Item_FunctionPoint_HidePamoPoint_001,User Name Waits Unity,Email Waits Unity,Passed,Failed,N/A,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,3,[EV_DefaultLit],Assets/Res/Environment/Item/FunctionPoint/Model/SM_Item_FunctionPoint_HidePamoPoint_001.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/FunctionPoint/Prefab/Prefab_Item_FunctionPoint_HidePamoPoint_001.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Rock_broken_Crystal_004,User Name Waits Unity,Email Waits Unity,Passed,Passed,Rock,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[EV_DefaultLit],Assets/Res/Environment/Level_HelgonBossArenaTest/Rock/Model/SM_Rock_broken_Crystal_004.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_HelgonBossArenaTest/Rock/Prefab/Prefab_Rock_broken_Crystal_004.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Build_Ark_YJ_01_Va,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Failed,Passed,Passed,Passed,1,[EV_DefaultLit],Assets/Res/Environment/Level_BW_Ark/Build/Model/SM_Build_Ark_YJ_01.FBX,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_BW_Ark/Build/Prefab/Prefab_Build_Ark_YJ_01_Va.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Build_PetSupplyStore_01_A,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,4,[Decal][EV_DefaultLit][EV_Tiling],Assets/Res/Environment/Level_BW_Ark/Build/Model/SM_Build_PetSupplyStore_01_A.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_BW_Ark/Build/Prefab/Prefab_Build_PetSupplyStore_01_A.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_ArtBlock_154sr,User Name Waits Unity,Email Waits Unity,Failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_BW_Ark/ArtBlock/Prefab/Prefab_ArtBlock_154sr.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Terrain_HoleTerrain_003,User Name Waits Unity,Email Waits Unity,Passed,Passed,Terrain,Passed,0,Failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_IOT/Terrian/Prefab/Prefab_Terrain_HoleTerrain_003.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_LVARK_MT_Build_CentralArea_01_A,User Name Waits Unity,Email Waits Unity,Passed,Failed,N/A,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,4,[EV_DefaultLit],Assets/Res/Environment/Level_BW_Ark/Build/Model/SM_LVARK_MT_Build_CentralArea_01_A.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_BW_Ark/Build/Prefab/Prefab_LVARK_MT_Build_CentralArea_01_A.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_LVIOT_Build_FlowerVillage_Stair_006,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Failed,N/A,N/A,N/A,N/A,N/A,N/A,Assets/Res/Environment/Level_IOT/Build/Model/SM_LVIOT_Build_FlowerVillage_Stair_006.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_IOT/Build/Prefab/Prefab_LVIOT_Build_FlowerVillage_Stair_006.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Props_GizmoPerfume_001_B,User Name Waits Unity,Email Waits Unity,Passed,Passed,Props,Passed,1,Passed,Passed,Failed,Passed,Passed,Passed,1,[ThinWall],Assets/Res/Environment/Common/Props/Model/SM_Props_GizmoPerfume_001_B.FBX,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Common/Props/Prefab/Prefab_Props_GizmoPerfume_001_B.prefab
Final Check Waits Python,Prefab Variant Check Waits Python,Prefab_Tree_GoldenRain_001_B_Leaf,User Name Waits Unity,Email Waits Unity,Passed,Passed,Tree,Passed,1,Passed,Passed,Passed,Failed,Passed,Passed,3,[Foliage][DefaultLit][Trunk],Assets/Res/Environment/Common/Vegetation/Tree/Model/SM_Tree_GoldenRain_001_B_Leaf.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Common/Vegetation/Tree/Prefab/Prefab_Tree_GoldenRain_001_B_Leaf.prefab
