Final Check,Prefab Variant Check,Prefab Variant Name,User Name,Email,Name Check,Class Check,Classification,Referenced Check,Referenced Model Count,Referenced Model Count Check,Hierarchy Check,Hierarchy Transform Check,Render Components Check,Empty Mesh Filter Check,Empty Mesh Render Check,Material Count,Shader Name,Referenced Model Path,Abs Path
Passed,Passed,Prefab_Item_Build_Yiji_Ceilingcorner_4m_B,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,2,[EV_DefaultLit],Assets/Res/Environment/Item/Build/Model/SM_Item_Build_Yiji_Ceilingcorner_4m_B.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/Build/Prefab/Prefab_Item_Build_Yiji_Ceilingcorner_4m_B.prefab
Passed,Passed,Prefab_Build_PhotoStudio_01_G,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,3,[Decal][EV_DefaultLit][EV_Tiling],Assets/Res/Environment/Level_BW_Ark/Build/Model/SM_Build_PhotoStudio_01_G.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_BW_Ark/Build/Prefab/Prefab_Build_PhotoStudio_01_G.prefab
Passed,Passed,Prefab_Item_Flower_SensorPlant_005_A,User Name Waits Unity,Email Waits Unity,Passed,Passed,Flower,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[Fern],Assets/Res/Environment/Item/Vegetation/Flower/Model/SM_Item_Flower_SensorPlant_005.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/Vegetation/Flower/Prefab/Prefab_Item_Flower_SensorPlant_005_A.prefab
Failed,Passed,Prefab_Tree_Novice_Leaf_001B,User Name Waits Unity,Email Waits Unity,Passed,Passed,Tree,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,2,[Foliage][Trunk],Assets/Res/Environment/Common/Vegetation/Tree/Model/SM_Tree_Novice_Leaf_001B.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Common/Vegetation/Tree/Prefab/Prefab_Tree_Novice_Leaf_001B.prefab
Passed,Passed,Prefab_LVIOT_Build_POI_009_A,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[ParallaxCrystal],Assets/Res/Environment/Level_IOT/Build/Model/SM_LVIOT_Build_POI_009_A.FBX,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_IOT/Build/Prefab/Prefab_LVIOT_Build_POI_009_A.prefab
Failed,Failed,P_Item_Yiji_Floor_4m4m_B_Text,User Name Waits Unity,Email Waits Unity,Failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/Build/Prefab/P_Item_Yiji_Floor_4m4m_B_Text.prefab
Passed,Passed,Prefab_Vine_NoviceVine_001_E,User Name Waits Unity,Email Waits Unity,Passed,Passed,Vine,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[Trunk],Assets/Res/Environment/Common/Vegetation/Vine/Model/SM_Vine_NoviceVine_001_E.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Common/Vegetation/Vine/Prefab/Prefab_Vine_NoviceVine_001_E.prefab
Passed,Passed,Prefab_Item_Props_Chest_Trigger_002,User Name Waits Unity,Email Waits Unity,Passed,Passed,Props,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[EV_DefaultLit],Assets/Res/Environment/Item/Props/Model/SM_Item_Props_Chest_Trigger_002.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Item/Props/Prefab/Prefab_Item_Props_Chest_Trigger_002.prefab
Passed,Passed,Prefab_Build_ARKBlock_122,User Name Waits Unity,Email Waits Unity,Passed,Passed,Build,Passed,1,Passed,Passed,Passed,Passed,Passed,Passed,1,[EV_Tiling],Assets/Res/Environment/Level_BW_Ark/ArtBlock/Model/SM_Build_ARKBlock_122.fbx,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Level_BW_Ark/ArtBlock/Prefab/Prefab_Build_ARKBlock_122.prefab
Failed,Passed,Prefab_Tree_Pine_001e,User Name Waits Unity,Email Waits Unity,Passed,Passed,Tree,Passed,1,Passed,Passed,Passed,Failed,Passed,Passed,2,[Foliage][EV_DefaultLit],Assets/Res/Environment/Common/Vegetation/Tree/Model/SM_Tree_Pine_001e.FBX,C:/yuanhangwu_HZPCC1360037_5625/unity_project/Assets/Res/Environment/Common/Vegetation/Tree/Prefab/Prefab_Tree_Pine_001e.prefab
