FBX Name,User Name,Email,命名检查,分类检查,分类,Hierarchy Check,Hierarchy Root Name Check,根节点名,冻结变换检查,LOD 数量,贴花数量,碰撞数量,LOD 材质球数量,贴花材质球数量,是否有无效的UV集,UV1 范围,Vertex Color,各级 LOD 的三角形数量,贴花的三角形数量,碰撞的三角形数量,旋转包围盒大小 (居中),包围盒大小 (未居中),绝对路径
SM_BackGround_Island_003,,,Passed,Passed,BackGround,Passed,Passed,[SM_BackGround_Island_003],Passed,5,0,0,[1][1][1][1][1],N/A,Passed,[0.799805-0.761108],[0.000000][0.000000][0.000000],[294][147][73][35][17],N/A,N/A,[12.766819][11.237445][2.381923],[6.282490][2.590523][6.519543],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/BackGround/Model/SM_BackGround_Island_003.FBX
SM_BackGround_Island_010,,,Passed,Passed,BackGround,Passed,Passed,[SM_BackGround_Island_010],Passed,5,0,0,[1][1][1][1][1],N/A,Passed,[0.956947-0.937378],[0.000000][0.000000][0.000000],[514][257][128][64][31],N/A,N/A,[2133.121338][426.169830][2369.652100],[1173.499268][433.095398][1171.936279],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/BackGround/Model/SM_BackGround_Island_010.fbx
SM_BackGround_Island_011,,,Passed,Passed,BackGround,Passed,Passed,[SM_BackGround_Island_011],Passed,5,0,0,[1][1][1][1][1],N/A,Passed,[0.956947-0.937378],[0.000000][0.000000][0.000000],[514][257][128][64][31],N/A,N/A,[2133.121338][426.169830][2369.652100],[1173.499268][433.095398][1171.936279],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/BackGround/Model/SM_BackGround_Island_011.fbx
SM_BackGround_Volcano_001,,,Passed,Passed,BackGround,Passed,Passed,[SM_BackGround_Volcano_001],Passed,5,0,0,[1][1][1][1][1],N/A,Passed,[0.948802-0.928315],[0.000000][0.000000][0.000000],[689][343][171][84][42],N/A,N/A,[1847.836060][494.654999][1867.255615],[875.579163][543.029480][950.837036],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/BackGround/Model/SM_BackGround_Volcano_001.fbx
SM_Build_AncientRuins_001A,,,Passed,Passed,Build,Passed,Passed,[SM_Build_AncientRuins_001A],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.989396-0.971791],[0.000000][0.000000][0.000000],[2208][1104][552][276][138],N/A,16,[2.025196][4.519075][2.082420],[1.146531][4.357037][1.022765],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_AncientRuins_001A.FBX
SM_Build_AncientRuins_001B,,,Passed,Passed,Build,Passed,Passed,[SM_Build_AncientRuins_001B],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.992198-0.992920],[0.000000][0.000000][0.000000],[2192][1096][548][274][136],N/A,30,[2.370083][5.920722][1.602690],[0.835971][5.888652][1.144162],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_AncientRuins_001B.FBX
SM_Build_AncientRuins_001C,,,Passed,Passed,Build,Passed,Passed,[SM_Build_AncientRuins_001C],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.995630-0.968793],[0.000000][0.000000][0.000000],[2298][1148][574][286][142],N/A,12,[2.060111][2.098575][5.767679],[1.156986][5.609690][1.052567],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_AncientRuins_001C.FBX
SM_Build_AncientRuins_001D,,,Passed,Passed,Build,Passed,Passed,[SM_Build_AncientRuins_001D],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.996634-0.974319],[0.000000][0.000000][0.000000],[2486][1242][620][310][154],N/A,12,[5.544398][1.958956][2.018885],[0.974912][1.566660][2.699609],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_AncientRuins_001D.FBX
SM_Build_AncientRuins_001E,,,Passed,Passed,Build,Passed,Passed,[SM_Build_AncientRuins_001E],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[1.998077-0.998050],[0.000000][0.000000][0.000000],[5720][4722][3898][3218][1608],N/A,824,[15.859160][15.991311][1.947551],[7.995263][1.477270][7.944266],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_AncientRuins_001E.fbx
SM_Build_AncientRuins_001F,,,Passed,Passed,Build,Passed,Passed,[SM_Build_AncientRuins_001F],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[1.998077-0.998050],[0.000000][0.000000][0.000000],[5242][2934][1466][732][366],N/A,200,[9.913553][9.892909][2.273120],[4.810779][1.549144][4.979153],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_AncientRuins_001F.fbx
SM_Build_Arch_007,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Arch_007],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[4.000000-1.000092],[0.000000][0.000000][0.000000],[8884][7560][6432][5472][2735],N/A,384,[4.803299][1.652806][6.731801],[2.361983][6.589410][0.831820],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Arch_007.fbx
SM_Build_Arch_destruction_007,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Arch_destruction_007],Passed,5,0,6,[2][2][2][2][2],N/A,Passed,[4.000000-1.000092],[0.000000][0.000000][0.000000],[4885][4072][3394][2829][1413],N/A,132,[2.633142][6.736175][1.652806],[1.299884][6.589410][0.831820],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Arch_destruction_007.fbx
SM_Build_Arch_destruction_007B,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Arch_destruction_007B],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[3.977396-1.000092],[0.000000][0.000000][0.000000],[3457][2353][1423][507][252],N/A,132,[1.654700][3.170647][2.631094],[1.314456][3.140444][0.831820],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Arch_destruction_007B.fbx
SM_Build_Beam_Long_A,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Beam_Long_A],Failed,4,0,1,[1][1][1][1],N/A,Passed,[0.996094-0.463379],[0.000000][0.000000][0.000000],[764][240][172][60],N/A,36,[0.160660][3.023639][0.160051],[1.511768][0.080330][0.080093],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Beam_Long_A.FBX
SM_Build_Beam_Long_B,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Beam_Long_B],Failed,4,0,1,[1][1][1][1],N/A,Passed,[0.996094-0.607422],[0.000000][0.000000][0.000000],[678][214][152][54],N/A,28,[0.164053][3.023111][0.156990],[1.511555][0.082026][0.077813],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Beam_Long_B.FBX
SM_Build_Brick_001,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Brick_001],Passed,5,0,4,[1][1][1][1][1],N/A,Passed,[0.999466-0.998008],[0.000000][0.000000][0.000000],[3231][1960][980][258][128],N/A,184,[5.979932][5.979934][0.341985],[2.993318][0.156154][2.993317],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Brick_001.FBX
SM_Build_Brick_002,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Brick_002],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.999242-1.031229],[0.000000][0.000000][0.000000],[1036][930][435][113][57],N/A,12,[6.297880][0.399125][6.516592],[3.148597][0.214723][3.258395],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Brick_002.FBX
SM_Build_CityFence_001_B,,,Passed,Passed,Build,Passed,Passed,[SM_Build_CityFence_001_B],Passed,5,0,3,[2][2][2][2][2],N/A,Passed,[0.998029-0.526535],[0.000000][0.000000][0.000000],[1572][786][392][196][98],N/A,36,[0.988975][2.263239][0.236053],[0.129089][0.987264][0.087752],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_CityFence_001_B.FBX
SM_Build_CityFence_001_C,,,Passed,Passed,Build,Passed,Passed,[SM_Build_CityFence_001_C],Passed,5,0,5,[1][1][1][1][1],N/A,Passed,[0.996987-0.995806],[0.000000][0.000000][0.000000],[4812][2406][1202][600][300],N/A,60,[0.161189][3.483922][1.244952],[0.067839][1.243285][0.086223],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_CityFence_001_C.FBX
SM_Build_CityFence_001_D,,,Passed,Passed,Build,Passed,Passed,[SM_Build_CityFence_001_D],Passed,5,0,4,[1][1][1][1][1],N/A,Passed,[0.996987-0.995806],[0.000000][0.000000][0.000000],[3260][1630][814][406][202],N/A,48,[0.160394][2.382443][1.241431],[0.074195][1.241431][0.062592],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_CityFence_001_D.FBX
SM_Build_Column_002,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Column_002],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[1.008426-0.854712],[0.000000][0.000000][0.000000],[2089][1272][587][258][128],N/A,40,[1.072394][1.538076][3.644571],[0.551445][3.509892][0.774456],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Column_002.fbx
SM_Build_Facade_004,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Facade_004],Passed,5,0,2,[3][3][3][3][3],N/A,Passed,[2.995601-0.994412],[0.000000][0.000000][0.000000],[3650][1494][548][272][136],N/A,30,[5.637261][2.781277][1.309437],[1.265582][2.806259][5.606041],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Facade_004.FBX
